Date,Min,Avg,Max
2019-09-12,70,92.03,120
2019-09-19,70,92.16,120
2019-09-26,70,93.1,120
2019-10-03,70,93.34,120
2019-10-10,70,93.39,120
2019-10-17,70,93.41,120
2019-10-24,70,93.18,120
2019-10-31,70,93.21,120
2019-11-07,70,93.21,120
2019-11-14,70,93.21,120
2019-11-21,70,93.21,120
2019-11-28,70,93.21,120
2019-12-05,70,93.21,120
2019-12-12,70,93.43,120
2019-12-19,70,93.7,120
2019-12-26,70,93.7,120
2020-01-02,70,93.76,120
2020-01-09,70,93.76,120
2020-01-16,70,93.76,120
2020-01-23,70,93.76,120
2020-01-30,70,93.76,120
2020-02-06,70,93.76,120
2020-02-13,70,93.88,120
2020-02-20,70,93.88,120
2020-02-27,70,93.99,120
2020-03-05,70,93.99,120
2020-03-12,70,94.66,120
2020-03-19,70,94.94,120
2020-03-26,75,95.4,120
2020-04-02,60,90.84,120
2020-04-09,70,90.96,120
2020-04-16,70,91.47,120
2020-04-23,70,92.69,120
2020-04-30,75,94.46,120
2020-05-07,75,94.72,120
2020-05-14,75,95.79,120
2020-05-21,75,95.85,120
2020-05-28,75,95.88,120
2020-06-04,75,96.44,120
2020-06-11,75,97.14,120
2020-06-18,75,97.66,120
2020-06-25,75,97.91,120
2020-07-02,75,97.91,120
2020-07-09,75,98.62,120
2020-07-16,75,99.65,120
2020-07-23,75,100.48,120
2020-07-29,75,101.51,120
2020-08-06,75,102.26,130
2020-08-13,75,102.88,130
2020-08-20,75,103,130
2020-08-27,80,102.88,130
2020-09-03,80,102.92,130
2020-09-10,80,103.53,130
2020-09-17,80,103.58,130
2020-09-24,80,103.58,130
2020-10-01,80,103.58,130
2020-10-08,80,103.87,130
2020-10-15,80,104.38,130
2020-10-22,80,104.89,130
2020-10-29,80,104.89,130
2020-11-05,80,104.89,130
2020-11-12,80.0,104.89,130.0
2020-11-19,80.0,104.25,130.0
2020-11-26,80.0,104.39,130.0
2020-12-03,80.0,104.59,130.0
2020-12-10,80.0,104.59,130.0
2020-12-17,80.0,104.59,130.0
2020-12-24,80.0,105.24,130.0
2020-12-31,80.0,105.18,130.0
2021-01-07,80.0,105.18,130.0
2021-01-14,80,105.18,130
2021-01-21,80.0,105.18,130.0
2021-01-28,80.0,105.18,130.0
2021-02-04,80.0,105.18,130.0
2021-02-11,80.0,105.18,130.0
2021-02-18,80.0,105.3,130.0
2021-02-25,80.0,105.3,130.0
2021-03-04,80.0,105.88,130.0
2021-03-11,80.0,107.33,130.0
2021-03-18,80.0,107.15,130.0
2021-03-25,80.0,107.25,130.0
2021-04-01,80.0,107.37,130.0
2021-04-08,80.0,107.47,130.0
2021-04-15,80.0,107.47,130.0
2021-04-22,80.0,107.53,130.0
2021-04-29,80.0,107.53,130.0
2021-05-06,80.0,107.73,130.0
2021-05-20,80.0,108.21,140.0
2021-05-27,80.0,108.6,140.0
2021-06-03,85.0,109.48,140.0
2021-06-10,90.0,109.85,140.0
2021-06-17,90.0,110.1,140.0
2021-06-24,90.0,110.43,140.0
2021-07-01,90.0,110.43,140.0
2021-07-08,90.0,110.6,140.0
2021-07-15,90.0,110.89,140.0
2021-07-29,90.0,110.96,140.0
2021-08-05,90.0,111.35,140.0
2021-08-12,90.0,111.35,140.0
2021-08-26,90.0,111.67,140.0
2021-09-02,90.0,111.67,140.0
2021-09-09,90.0,111.78,140.0
2021-09-16,90.0,111.78,140.0
2021-09-23,90.0,111.92,140.0
2021-09-30,90.0,111.97,140.0
2021-10-07,90.0,112.02,140.0
2021-10-14,90.0,112.02,140.0
2021-10-21,90.0,112.48,140.0
2021-10-28,90.0,112.48,140.0
2021-11-04,90.0,112.48,140.0
2021-11-11,90.0,112.85,140.0
2021-11-18,90.0,113.08,140.0
2021-11-25,90.0,113.21,140.0
2021-12-02,90.0,113.46,140.0
2021-12-09,90.0,114.3,140.0
2021-12-16,90.0,114.3,140.0
2021-12-23,90.0,114.31,140.0
2021-12-30,90.0,114.31,140.0
2022-01-06,90.0,114.84,140.0
2022-01-13,90.0,115.27,140.0
2022-01-20,90.0,115.4,140.0
2022-01-27,90.0,115.4,140.0
2022-02-03,90.0,115.54,140.0
2022-02-10,90.0,115.54,140.0
2022-02-17,90.0,115.63,140.0
2022-02-24,90.0,115.7,140.0
