Date,Min,Avg,Max
2019-09-12,150,150.29,155
2019-09-19,150,150.29,155
2019-09-26,150,150.29,155
2019-10-03,150,150.29,155
2019-10-10,150,150.29,155
2019-10-17,150,150.29,155
2019-10-24,150,150.29,155
2019-10-31,150,150.29,155
2019-11-07,150,150.29,155
2019-11-14,150,150.29,155
2019-11-21,150,150.29,155
2019-11-28,150,150.29,155
2019-12-05,150,150.29,155
2019-12-12,150,150.29,155
2019-12-19,150,150.29,155
2019-12-26,150,150.29,155
2020-01-02,150,150.29,155
2020-01-02,150,150.29,155
2020-01-09,150,150.29,155
2020-01-16,150,150.29,155
2020-01-23,150,150.29,155
2020-01-30,150,150.29,155
2020-02-06,150,150.29,155
2020-02-13,150,153.55,180
2020-02-20,150,153.55,180
2020-02-27,150,153.55,180
2020-03-05,150,153.55,180
2020-03-12,150,153.55,180
2020-03-19,150,158.57,180
2020-03-26,150,158.57,180
2020-03-26,150,158.57,180
2020-04-02,150,158.57,180
2020-04-09,150,158.57,180
2020-04-16,150,158.57,180
2020-04-23,150,158.57,180
2020-04-30,150,158.57,180
2020-05-07,150,160.28,180
2020-05-07,150,160.28,180
2020-05-14,150,165.25,180
2020-05-21,150,165.25,180
2020-05-28,150,165.25,180
2020-06-04,150,182.52,280
2020-06-11,150,208.73,280
2020-06-18,150,230.01,280
2020-06-25,150,241.16,280
2020-07-02,180,260.49,280
2020-07-09,230,276.78,280
2020-07-16,230,276.78,280
2020-07-23,230,276.78,280
2020-07-29,230,276.78,280
2020-08-06,280,280,280
2020-08-13,280,280,280
2020-08-20,280,280,280
2020-08-27,280,280,280
2020-09-03,280,280,280
2020-09-10,280,280,280
2020-09-17,280,280,280
2020-09-24,280,280,280
2020-10-01,280,280,280
2020-10-08,280,280,280
2020-10-15,280,280,280
2020-10-22,280,280,280
2020-10-29,280,280,280
2020-11-05,280,280,280
2020-11-12,280,280,280
2020-11-19,280,280,280
2020-11-26,280,280,280
2020-12-03,280,280,280
2020-12-10,280,280,280
2020-12-17,280,280,280
2020-12-24,280,280,280
2020-12-31,280,280,280
2021-01-07,280,295.5,380
2021-01-14,280,306.31,380
2021-01-21,280,306.31,380
2021-01-28,280,335.1,380
2021-02-04,280.0,360.06,380.0
2021-02-11,280.0,366.59,380.0
2021-02-18,280.0,373.23,380.0
2021-02-25,280.0,373.23,380.0
2021-03-04,280.0,373.23,380.0
2021-03-11,280.0,373.23,380.0
2021-03-18,380.0,380.0,380.0
2021-03-25,380.0,380.0,380.0
2021-04-01,380.0,380.0,380.0
2021-04-08,380.0,380.0,380.0
2021-04-15,380.0,380.0,380.0
2021-04-22,380.0,380.0,380.0
2021-04-29,380.0,380.0,380.0
2021-05-06,380.0,380.0,380.0
2021-05-20,380.0,380.0,380.0
2021-05-27,380.0,380.0,380.0
2021-06-03,380.0,380.0,380.0
2021-06-10,380.0,380.0,380.0
2021-06-17,380.0,380.0,380.0
2021-06-24,380.0,380.0,380.0
2021-07-01,380.0,380.0,380.0
2021-07-08,380.0,380.0,380.0
2021-07-15,380.0,380.0,380.0
2021-07-29,380.0,380.0,380.0
2021-08-05,380.0,380.0,380.0
2021-08-12,380.0,380.0,380.0
2021-08-26,380.0,380.0,380.0
2021-09-02,380.0,380.0,380.0
2021-09-09,380.0,380.0,380.0
2021-09-16,380.0,380.0,380.0
2021-09-23,380.0,380.0,380.0
2021-09-30,345.0,377.85,380.0
2021-10-07,345.0,373.6,380.0
2021-10-14,345.0,373.6,380.0
2021-10-21,345.0,373.6,380.0
2021-10-28,345.0,373.6,380.0
2021-11-04,345.0,373.6,380.0
2021-11-11,345.0,373.6,380.0
2021-11-18,345.0,375.7,380.0
2021-11-25,345.0,375.7,380.0
2021-12-02,345.0,372.39,380.0
2021-12-09,345.0,372.39,380.0
2021-12-16,345.0,370.28,380.0
2021-12-23,215.0,354.89,380.0
2021-12-30,215.0,334.38,380.0
2022-01-06,215.0,285.75,380.0
2022-01-13,215.0,285.75,380.0
2022-01-20,215.0,285.75,380.0
2022-01-27,215.0,259.9,380.0
2022-02-03,215.0,259.9,380.0
2022-02-10,215.0,251.33,380.0
2022-02-17,215.0,237.73,380.0
2022-02-24,215.0,237.73,380.0
2022-03-03,215.0,237.73,380.0
2022-03-10,215.0,237.73,380.0
2022-03-17,215.0,237.73,380.0
2022-03-24,215.0,237.73,380.0
2022-03-31,215.0,237.73,380.0
2022-04-07,215.0,229.9,380.0
2022-04-14,215.0,229.9,380.0
2022-04-21,215.0,229.9,380.0
2022-04-28,215.0,229.9,380.0
2022-05-12,215.0,229.9,380.0
