Date,Min,Avg,Max
2019-09-12,85,96.81,115
2019-09-19,80,98.79,120
2019-09-26,90,100.09,120
2019-10-03,85,106.09,120
2019-10-10,90,112.48,120
2019-10-17,100,114.11,130
2019-10-24,100,116,130
2019-10-31,100,114.44,130
2019-11-07,100,115.1,130
2019-11-14,100,114.04,140
2019-11-21,100,113.69,140
2019-11-28,100,112.65,140
2019-12-05,90,112.98,140
2019-12-12,108,119.31,140
2019-12-19,110,125.16,140
2019-12-26,120,128.48,140
2020-01-02,120,129.82,140
2020-01-02,120,129.82,140
2020-01-09,120,134.76,145
2020-01-16,120,132.58,145
2020-01-23,110,126.65,145
2020-01-30,100,118,145
2020-02-06,90,106.31,140
2020-02-13,80,102.52,140
2020-02-20,80,96.6,140
2020-02-27,75,90.36,140
2020-03-05,80,94.04,120
2020-03-12,90,101.74,120
2020-03-19,90,102.05,120
2020-03-26,100,124.5,135
2020-03-26,100,124.5,135
2020-04-02,100,120.24,130
2020-04-09,110,119.68,130
2020-04-16,100,113.93,130
2020-04-23,90,107.22,130
2020-04-30,80,95.59,125
2020-05-07,80,95.73,120
2020-05-07,80,95.73,120
2020-05-14,75,95.48,120
2020-05-21,80,95.75,120
2020-05-28,80,95.18,110
2020-06-04,100,109.95,120
2020-06-11,100,113.11,120
2020-06-18,105,117.24,125
2020-06-25,110,118.46,130
2020-07-02,110,121,130
2020-07-09,115,125.58,135
2020-07-16,115,129.14,140
2020-07-23,115,128.66,140
2020-07-29,120,130.9,140
2020-08-06,110,130.76,140
2020-08-13,115,128.76,140
2020-08-20,100,119.57,140
2020-08-27,110,118.98,130
2020-09-03,120,127.78,140
2020-09-10,120,130.46,140
2020-09-17,125,137.88,150
2020-09-24,125,138.88,150
2020-10-01,135,142.98,150
2020-10-08,150,158.39,180
2020-10-15,159,167.64,185
2020-10-22,160,168.22,190
2020-10-29,155,169.26,190
2020-11-05,150,168.68,190
2020-11-12,160,169.09,185
2020-11-19,165,174.96,195
2020-11-26,165,176.85,190
2020-12-03,170,182.56,195
2020-12-10,180,195.26,220
2020-12-17,190,199.59,225
2020-12-24,195,205.85,230
2020-12-31,190,206.49,230
2021-01-07,180,199,230
2021-01-14,140,167.91,220
2021-01-21,130,154.51,180
2021-01-28,120,141.84,160
2021-02-04,120.0,140.0,160.0
2021-02-11,130.0,146.8,160.0
2021-02-19,130.0,149.04,170.0
2021-02-25,140.0,150.3,160.0
2021-03-04,140.0,151.88,160.0
2021-03-11,150.0,168.26,190.0
2021-03-18,160.0,170.39,180.0
2021-03-25,155.0,171.0,190.0
2021-04-01,155.0,171.05,190.0
2021-04-08,155.0,168.63,180.0
2021-04-15,150.0,167.35,180.0
2021-04-22,140.0,157.62,180.0
2021-04-29,140.0,151.34,175.0
2021-05-06,120.0,141.82,170.0
2021-05-20,140.0,149.42,170.0
2021-05-27,130.0,148.1,165.0
2021-06-03,140.0,151.17,170.0
2021-06-10,130.0,151.66,170.0
2021-06-17,130.0,151.11,170.0
2021-06-24,130.0,151.51,170.0
2021-07-01,130.0,152.36,170.0
2021-07-08,130.0,154.9,170.0
2021-07-15,130.0,157.78,170.0
2021-07-29,140.0,163.34,180.0
2021-08-05,130.0,157.57,180.0
2021-08-12,120.0,154.79,180.0
2021-08-26,130.0,159.21,180.0
2021-09-02,140.0,164.36,180.0
2021-09-09,150.0,170.65,190.0
2021-09-16,160.0,175.94,200.0
2021-09-23,165.0,178.92,200.0
