Date,Min,Avg,Max
2019-09-12,25,52.63,80
2019-09-19,30,48.85,80
2019-09-26,25,50.03,80
2019-10-03,40,64.08,100
2019-10-10,30,59.12,100
2019-10-17,60,85.69,120
2019-10-24,60,99.49,140
2019-10-31,70,114.72,160
2019-11-07,90,140.32,180
2019-11-14,110,205.88,280
2019-11-21,180,227.77,320
2019-11-28,150,199.92,260
2019-12-05,110,164.62,240
2019-12-12,80,130.13,220
2019-12-19,70,114.48,160
2019-12-19,70,114.48,160
2019-12-26,70,105.71,150
2019-12-26,70,105.71,150
2020-01-01,100,140.85,200
2020-01-02,100,140.85,200
2020-01-02,100,140.85,200
2020-01-09,100,148.66,220
2020-01-09,100,148.66,220
2020-01-16,60,109.88,160
2020-01-16,60,109.88,160
2020-01-23,50,76.1,120
2020-01-23,50,76.1,120
2020-01-30,40,63.64,100
2020-01-30,40,63.64,100
2020-02-06,40,54.2,90
2020-02-13,30,46.06,80
2020-02-20,20,43.46,80
2020-02-27,20,39.45,80
2020-03-05,15,35.19,70
2020-03-12,15,33.67,60
2020-03-19,20,40.61,60
2020-03-26,20,41.2,80
2020-03-26,20,41.2,80
2020-04-02,15,33.1,60
2020-04-09,10,30.67,60
2020-04-16,10,30.98,60
2020-04-23,10,28.29,60
2020-04-30,10,26.35,50
2020-05-07,10,25.53,50
2020-05-07,10,25.53,50
2020-05-14,10,25.63,60
2020-05-21,15,28.09,60
2020-05-28,15,26.77,60
2020-06-04,20,24.83,60
2020-06-11,20,28.31,60
2020-06-18,25,39.34,60
2020-06-25,30,56.48,80
2020-07-02,30,67.34,100
2020-07-09,60,96.5,120
2020-07-16,50,80.5,110
2020-07-23,40,79.96,110
2020-07-29,40,91.63,130
2020-08-06,40,61.31,100
2020-08-13,30,57.69,90
2020-08-20,30,57.81,80
2020-08-27,40,60.66,80
2020-09-03,50,76.78,120
2020-09-10,50,71.89,120
2020-09-17,70,91.81,120
2020-09-24,70.0,100.34,160.0
2020-10-01,80.0,110.22,150.0
2020-10-08,80.0,128.29,180.0
2020-10-16,90.0,132.72,200.0
2020-10-23,90.0,134.8,160.0
2020-10-29,90.0,134.8,160.0
2020-11-05,100.0,147.76,180.0
2020-11-12,100.0,143.7,180.0
2020-11-19,100.0,148.76,200.0
2020-11-26,80.0,133.49,180.0
2020-12-03,80.0,119.1,160.0
2020-12-10,80.0,117.65,160.0
2020-12-17,60.0,87.28,120.0
2020-12-24,60.0,95.57,130.0
2020-12-31,60.0,91.22,130.0
2021-01-07,60.0,84.64,120.0
2021-01-14,50,75.18,180
2021-01-21,40.0,64.05,100.0
2021-01-28,25.0,44.95,80.0
2021-02-04,20.0,40.25,80.0
2021-02-11,15.0,32.75,70.0
2021-02-18,15.0,31.44,70.0
2021-02-25,15.0,29.54,60.0
2021-03-04,15.0,29.39,60.0
2021-03-11,15.0,31.45,60.0
2021-03-18,20.0,39.17,70.0
2021-03-25,20.0,47.02,90.0
2021-04-01,20.0,44.34,80.0
2021-04-08,20.0,47.67,80.0
2021-04-15,20.0,54.83,90.0
2021-04-22,20.0,38.26,80.0
2021-04-29,20.0,31.7,60.0
2021-05-06,20.0,31.8,70.0
2021-05-20,5.0,26.09,60.0
2021-05-27,10.0,26.81,50.0
2021-06-03,10.0,29.41,60.0
2021-06-10,20.0,31.78,50.0
2021-06-17,20.0,36.47,60.0
2021-06-24,25.0,41.78,60.0
