Date,Min,Avg,Max
9/5/2019,0,0,0
9/12/2019,0,0,0
9/19/2019,0,0,0
9/26/2019,0,0,0
10/3/2019,0,0,0
10/10/2019,0,0,0
10/17/2019,0,0,0
10/24/2019,0,0,0
10/31/2019,0,0,0
11/7/2019,0,0,0
11/14/2019,0,0,0
11/21/2019,0,0,0
11/28/2019,0,0,0
12/5/2019,0,0,0
12/12/2019,0,0,0
12/19/2019,0,0,0
12/26/2019,0,0,0
1/2/2020,0,0,0
1/9/2020,0,0,0
1/16/2020,0,0,0
1/23/2020,0,0,0
1/30/2020,0,0,0
2/6/2020,0,0,0
2/13/2020,0,0,0
2/20/2020,0,0,0
2/27/2020,0,0,0
3/5/2020,0,0,0
3/12/2020,0,0,0
3/19/2020,0,0,0
3/26/2020,0,0,0
4/2/2020,0,0,0
4/9/2020,0,0,0
4/16/2020,0,0,0
4/23/2020,0,0,0
4/30/2020,0,0,0
5/7/2020,0,0,0
5/14/2020,0,0,0
5/21/2020,0,0,0
5/28/2020,0,0,0
6/4/2020,0,0,0
6/11/2020,0,0,0
6/18/2020,0,0,0
6/25/2020,0,0,0
7/2/2020,0,0,0
7/9/2020,0,0,0
7/16/2020,0,0,0
7/23/2020,0,0,0
7/29/2020,0,0,0
8/6/2020,0,0,0
8/13/2020,0,0,0
8/20/2020,0,0,0
8/27/2020,0,0,0
9/3/2020,0,0,0
9/10/2020,0,0,0
9/17/2020,0,0,0
9/24/2020,0,0,0
10/1/2020,0,0,0
10/8/2020,0,0,0
10/15/2020,0,0,0
10/22/2020,0,0,0
10/29/2020,0,0,0
11/5/2020,0,0,0
11/12/2020,0,0,0
11/19/2020,0,0,0
11/26/2020,0,0,0
12/3/2020,0,0,0
12/10/2020,0,0,0
12/17/2020,0,0,0
12/24/2020,0,0,0
12/31/2020,0,0,0
1/7/2021,0,0,0
1/14/2021,0,0,0
1/21/2021,0,0,0
1/28/2021,0,0,0
2/4/2021,0,0,0
2/11/2021,0,0,0
2/18/2021,0,0,0
2/25/2021,0,0,0
3/4/2021,0,0,0
3/11/2021,0,0,0
3/18/2021,0,0,0
3/25/2021,0,0,0
4/1/2021,0,0,0
4/8/2021,0,0,0
4/15/2021,0,0,0
4/22/2021,0,0,0
4/29/2021,0,0,0
5/6/2021,0,0,0
5/20/2021,0,0,0
5/27/2021,0,0,0
6/3/2021,0,0,0
6/10/2021,0,0,0
6/17/2021,0,0,0
6/24/2021,0,0,0
7/1/2021,0,0,0
7/8/2021,0,0,0
7/15/2021,0,0,0
7/29/2021,0,0,0
8/5/2021,0,0,0
8/12/2021,0,0,0
8/26/2021,0,0,0
9/2/2021,0,0,0
9/9/2021,0,0,0
